Tool / Resource,Category,Software / Resource link,Purpose
ResFinder,Antimicrobial resistance,https://bitbucket.org/genomicepidemiology/resfinder,DTU AMR gene detection with phenotype prediction (ResFinder4).
RGI / CARD,Antimicrobial resistance,https://github.com/arpcard/rgi,Resistance Gene Identifier searches CARD's curated AMR ontology and homologs.
deepARG,Antimicrobial resistance,https://github.com/gaarangoa/deeparg,Deep-learning ARG classifier for divergent resistance genes.
AMR++,Antimicrobial resistance,https://github.com/Microbial-Ecology-Group/AMRplusplus,Pipeline for profiling antimicrobial resistance genes in metagenomic sequencing data.
AMRFinderPlus,Antimicrobial resistance,https://github.com/ncbi/amr,NCBI-maintained AMR + virulence gene detection from genomes and proteins.
hAMRonization,Antimicrobial resistance,https://github.com/pha4ge/hAMRonization,Harmonises outputs from multiple AMR detection tools into a common schema.
Staramr,Antimicrobial resistance,https://github.com/phac-nml/staramr,"Scans bacterial genomes for AMR genes, point mutations and plasmid replicons."
ABRicate,Antimicrobial resistance,https://github.com/tseemann/abricate,"Mass screening of contigs against multiple AMR DBs (CARD, ResFinder, NCBI, etc.)."
ARGs-OAP,Antimicrobial resistance,https://github.com/xinehc/args_oap,Online and offline ARG profiling from metagenomic reads.
ARIBA,Antimicrobial resistance,https://github.com/sanger-pathogens/ariba,Antimicrobial Resistance Identification By Assembly
MetaQUAST,Assembly,https://github.com/ablab/quast,Quality assessment of metagenomic assemblies.
metaSPAdes,Assembly,https://github.com/ablab/spades,SPAdes mode for metagenomic assembly with repeat resolution and bubble handling.
OPERA-MS,Assembly,https://github.com/CSB5/OPERA-MS,Hybrid metagenomic assembler for short and long reads.
metaFlye,Assembly,https://github.com/fenderglass/Flye,Flye assembler in metagenomic mode for long-read (ONT/PacBio) data.
metaMDBG,Assembly,https://github.com/GaetanBenoitDev/metaMDBG,Long-read metagenome assembler using minimizer de Bruijn graphs.
IDBA-UD,Assembly,https://github.com/loneknightpy/idba,Iterative de Bruijn assembler for metagenomic data with uneven depth.
PenguiN,Assembly,https://github.com/soedinglab/plass,Protein-guided nucleotide assembler emphasising recovery of coding regions and viral sequences.
MEGAHIT,Assembly,https://github.com/voutcn/megahit,Memory-efficient de Bruijn graph assembler for large metagenomes.
hifiasm-meta,Assembly,https://github.com/xfengnefx/hifiasm-meta,HiFi-specific haplotype-resolved metagenomic assembler.
PLSDAbatch,Batch correction,https://bioconductor.org/packages/PLSDAbatch,Multivariate PLS-DA based framework for batch-effect correction in microbiome data.
ConQuR,Batch correction,https://github.com/wdl2459/ConQuR,Batch correction
CAMISIM,Benchmarking / simulation,https://github.com/CAMI-challenge/CAMISIM,Simulation framework for metagenomic benchmarking with realistic communities.
InSilicoSeq,Benchmarking / simulation,https://github.com/HadrienG/InSilicoSeq,Illumina metagenomic read simulator with empirical error models.
AMPSphere,BGCs / natural products / AMPs,https://ampsphere.big-data-biology.org/,Atlas of antimicrobial peptides from global metagenomes.
ARTS,BGCs / natural products / AMPs,https://arts.ziemertlab.com/,Antibiotic Resistant Target Seeker finds resistance-linked BGCs.
BGC Atlas,BGCs / natural products / AMPs,https://bgc-atlas.cs.uni-duesseldorf.de/,Atlas of BGCs from MAGs across diverse environments.
antiSMASH,BGCs / natural products / AMPs,https://github.com/antismash/antismash,Gold-standard rule-based BGC identification and annotation.
BiG-SLiCE,BGCs / natural products / AMPs,https://github.com/medema-group/bigslice,Clustering of millions of BGCs into Gene Cluster Families (GCFs) at scale.
deepBGC,BGCs / natural products / AMPs,https://github.com/Merck/deepbgc,Deep-learning BGC prediction via Pfam embeddings and LSTM classifier.
GECCO,BGCs / natural products / AMPs,https://github.com/zellerlab/GECCO,Gene Cluster Prediction with Conditional Random Fields.
MetaBAT2,Binning,https://bitbucket.org/berkeleylab/metabat,Tetranucleotide-frequency + coverage clustering for MAG recovery.
magpurify2,Binning,https://github.com/apcamargo/magpurify2,Decontamination / purification of MAGs using multi-feature anomaly detection.
SemiBin2,Binning,https://github.com/BigDataBiology/SemiBin,Self-supervised deep contrastive learning binner with pretrained models.
CONCOCT,Binning,https://github.com/BinPro/CONCOCT,Composition + coverage Gaussian mixture model binner.
DAS_Tool,Binning,https://github.com/cmks/DAS_Tool,Consensus refinement of multiple binner outputs by SCG-based scoring.
MetaDecoder,Binning,https://github.com/liu-congcong/MetaDecoder,Reference-free metagenomic binning using sequence composition and coverage.
GraphMB,Binning,https://github.com/MicrobialDarkMatter/GraphMB,Graph neural network-assisted metagenomic binning using assembly graph and coverage.
VAMB,Binning,https://github.com/RasmussenLab/vamb,Variational autoencoder-based binner using composition and co-abundance.
COMEBin,Binning,https://github.com/ziyewang/COMEBin,Contrastive multi-view representation learning for metagenomic binning.
MaxBin2,Binning,https://sourceforge.net/projects/maxbin2/,Expectation-maximisation binning using marker genes + tetranucleotide frequency.
SparseMCMM,Causal inference & mediation,https://github.com/chanw0/SparseMCMM,Sparse compositional mediation modelling for microbiome mediators.
microbiome_mediation (medTest),Causal inference & mediation,https://github.com/KiRinHong/miMediation,Compositional mediation testing via distance-based and SOBEL-style frameworks.
MicroBVS,Causal inference & mediation,https://github.com/mkoslovsky/MicroBVS,Bayesian variable selection for microbiome covariate models.
TwoSampleMR / MR-Base,Causal inference & mediation,https://github.com/MRCIEU/TwoSampleMR,Mendelian randomisation using GWAS summary stats; microbiome instruments via mbQTL.
dbCAN,CAZyme and carbohydrate metabolism,https://bcb.unl.edu/dbCAN2/,Automated CAZyme annotation using the CAZy ecosystem.
DirichletMultinomial,Community typing / mixture models,https://bioconductor.org/packages/DirichletMultinomial,Dirichlet-multinomial mixture modelling for microbial community types.
fido,Compositional modelling,https://jsilve24.github.io/fido/,Bayesian multinomial logistic-normal modelling for microbiome count/compositional data.
decontam,Contamination detection,https://github.com/benjjneb/decontam,Statistical identification of contaminant features using prevalence and/or frequency patterns.
Koverage,Coverage / abundance,https://github.com/beardymcjohnface/Koverage,Snakemake/Snaketool workflow for read-coverage analysis across massive metagenomic or genomic datasets.
HoloFoodR,Data access & public resources,https://bioconductor.org/packages/HoloFoodR,R/Bioconductor interface to HoloFood resource data.
MGnifyR,Data access & public resources,https://bioconductor.org/packages/MGnifyR,R/Bioconductor interface for accessing and processing MGnify data.
microbiomeDataSets,Data access & public resources,https://bioconductor.org/packages/microbiomeDataSets,Bioconductor ExperimentHub package providing microbiome datasets in analysis-ready formats.
SummarizedExperiment,Data containers & infrastructure,https://bioconductor.org/packages/SummarizedExperiment,Generic Bioconductor container for rectangular assay data with row and column metadata.
TreeSummarizedExperiment,Data containers & infrastructure,https://bioconductor.org/packages/TreeSummarizedExperiment,Bioconductor S4 container for assays with hierarchical row/column structure such as taxonomy trees and phylogenies.
ENA Browser / enaBrowserTools,Data retrieval / public metagenomes,https://github.com/enasequence/enaBrowserTools,Searches/downloads reads and metadata from ENA.
SRA Toolkit,Data retrieval / public metagenomes,https://github.com/ncbi/sra-tools,Downloads and converts sequencing data from NCBI SRA.
tidySummarizedExperiment,Data wrangling,https://bioconductor.org/packages/tidySummarizedExperiment,Tidyverse-style manipulation interface for SummarizedExperiment objects.
MEDI,Dietary reconstruction from metagenomes,https://github.com/Gibbons-Lab/medi,Metagenomic Estimation of Dietary Intake; estimates food-derived DNA and nutrient composition from stool shotgun metagenomes.
ANCOMBC,Differential abundance,https://bioconductor.org/packages/ANCOMBC,"Bias-corrected compositional differential abundance testing, including ANCOM-BC and ANCOM-BC2 implementations."
dar,Differential abundance,https://bioconductor.org/packages/dar,Bioconductor package for differential abundance testing in microbiome data.
metagenomeSeq,Differential abundance,https://bioconductor.org/packages/metagenomeSeq,Zero-inflated Gaussian/cumulative-sum scaling method for sparse microbiome count data.
MaAsLin3,Differential abundance,https://github.com/biobakery/maaslin3,Multivariate association with linear models joint presence + abundance modelling.
Songbird,Differential abundance,https://github.com/biocore/songbird,Multinomial regression for log-ratio differentials.
ANCOM-BC2,Differential abundance,https://github.com/FrederickHuangLin/ANCOMBC,Bias-corrected linear modelling for compositional microbiome data with covariates.
ALDEx2,Differential abundance,https://github.com/ggloor/ALDEx_bioc,CLR transform + Dirichlet Monte Carlo for compositional differential abundance.
ZicoSeq,Differential abundance,https://github.com/jchen1981/GUniFrac,Permutation-based DA with reference taxa and covariate adjustment.
corncob,Differential abundance,https://github.com/statdivlab/corncob,Beta-binomial regression modelling abundance and dispersion separately.
radEmu,Differential abundance,https://github.com/statdivlab/radEmu,Method for estimating fold changes from partially observed outcomes with applications in microbial metagenomics.
ZINQ,Differential abundance,https://github.com/wdl2459/ZINQ-L,Zero-inflated quantile rank-sum test for DA.
LinDA,Differential abundance,https://github.com/zhouhj1994/LinDA,Linear model on log-CLR with bias correction (intercept median).
fastANCOM,Differential abundance,https://github.com/ZRChao/fastANCOM,Speed-optimised reimplementation of ANCOM.
MaAsLin2,Differential abundance,https://huttenhower.sph.harvard.edu/maaslin/,Multivariable association testing for microbiome features and metadata.
lefser,Differential abundance,https://bioconductor.org/packages/lefser,R/Bioconductor implementation of LEfSe-style metagenomic biomarker discovery.
MicrobiomeStat,Differential abundance,https://cran.r-project.org/package=MicrobiomeStat,CRAN package containing microbiome statistical methods including LinDA workflows.
expam,Differential abundance,https://github.com/seansolari/expam,Distance estimation using trees
iNEXT,Diversity analyses,https://chao.shinyapps.io/iNEXTOnline/,Rarefaction/extrapolation of diversity with Hill numbers.
vegan,Diversity analyses,https://cran.r-project.org/package=vegan,"R package for classical community ecology: ordinations, permutation tests, diversity indices."
breakaway,Diversity analyses,https://github.com/adw96/breakaway,Estimates species richness from frequency count tables.
phyloseq,Diversity analyses,https://github.com/joey711/phyloseq,"R package for storing and analysing OTU/ASV tables with taxonomy, sample data, tree."
philr,Diversity analyses,https://github.com/jsilve24/philr,Phylogenetic isometric log-ratio transformation for microbiome compositional data.
scikit-bio,Diversity analyses,https://github.com/scikit-bio/scikit-bio,"Python toolkit for diversity metrics, phylogenetics, sequence ops."
QIIME2,Diversity analyses,https://qiime2.org/,"End-to-end microbiome ecology platform: diversity, taxonomy, stats, plugins."
MicrobiomeAnalyst,Diversity analyses,https://www.microbiomeanalyst.ca/,"Web platform for marker-gene + shotgun analyses with stats, visualisation, signatures."
ProtTrans,DNA/protein foundation models,https://github.com/agemagician/ProtTrans,Family of transformer protein LMs (BERT/T5/XLNet) trained on UniRef.
Evo 2,DNA/protein foundation models,https://github.com/ArcInstitute/evo2,40B-parameter genome-scale LM trained across the tree of life (1M token context).
Evo,DNA/protein foundation models,https://github.com/evo-design/evo,7B-parameter genomic language model trained on bacterial/phage DNA.
ESM-2,DNA/protein foundation models,https://github.com/facebookresearch/esm,Protein language model family (8M–15B params) trained on UniRef.
HyenaDNA,DNA/protein foundation models,https://github.com/HazyResearch/hyena-dna,Long-context DNA LM using Hyena operators (up to 1M tokens).
Nucleotide Transformer,DNA/protein foundation models,https://github.com/instadeepai/nucleotide-transformer,InstaDeep transformer family pretrained on human and 850 species genomes.
DNABERT-2,DNA/protein foundation models,https://github.com/MAGICS-LAB/DNABERT_2,BERT-based DNA model with BPE tokenisation and multi-species training.
GenSLM,DNA/protein foundation models,https://github.com/ramanathanlab/genslm,Genome-scale language model trained for pathogen surveillance (e.g. SARS-CoV-2 evolution).
EukDetect,Eukaryotic / fungal / parasite profiling,https://github.com/allind/EukDetect,Detects eukaryotic organisms in shotgun metagenomic datasets using marker genes.
EukRep,Eukaryotic contig identification,https://github.com/patrickwest/EukRep,Classifies assembled contigs as eukaryotic vs prokaryotic.
DIAMOND,Functional profiling read-based,https://github.com/bbuchfink/diamond,Ultra-fast translated sequence alignment against protein databases.
HUMAnN3,Functional profiling read-based,https://github.com/biobakery/humann,Tiered profiling of gene families (UniRef) and MetaCyc pathways from shotgun reads.
eggNOG-mapper,Functional profiling read-based,https://github.com/eggnogdb/eggnog-mapper,"Functional annotation via orthology to eggNOG; assigns KEGG, GO, COG, CAZy."
SUPER-FOCUS,Functional profiling read-based,https://github.com/metageni/SUPER-FOCUS,SEED subsystem-level functional profiling using DIAMOND/RAPSearch reduced DB.
MMseqs2,Functional profiling read-based,https://github.com/soedinglab/MMseqs2,"Fast protein/nucleotide search, clustering, and taxonomy workflows."
ShortBRED,Functional profiling read-based,https://huttenhower.sph.harvard.edu/shortbred/,"Builds and profiles short, specific protein family markers in metagenomes."
MinPath,Functional profiling read-based,https://omics.informatics.indiana.edu/MinPath/,Infers parsimonious biological pathways from gene-family annotations.
MEGAN6,Functional profiling read-based,https://software-ab.cs.uni-tuebingen.de/download/megan6/,Interactive LCA taxonomy + functional (SEED/KEGG/InterPro) analysis from BLAST/DIAMOND.
FUNGuild,Fungal functional ecology,https://github.com/UMNFuN/FUNGuild,Assigns ecological guilds to fungal taxa.
Pyrodigal,Gene prediction / MAG annotation,https://github.com/althonos/pyrodigal,Python bindings/reimplementation for Prodigal-style gene prediction.
METABOLIC,Gene prediction / MAG annotation,https://github.com/AnantharamanLab/METABOLIC,Profiles metabolic and biogeochemical functional traits from genomes/MAGs.
Prodigal / metaProdigal,Gene prediction / MAG annotation,https://github.com/hyattpd/Prodigal,Predicts protein-coding genes in microbial genomes and metagenomic contigs.
Bakta,Gene prediction / MAG annotation,https://github.com/oschwengers/bakta,Rapid microbial genome and MAG annotation suite.
Prokka,Gene prediction / MAG annotation,https://github.com/tseemann/prokka,Rapid prokaryotic genome annotation.
DRAM,Gene prediction / MAG annotation,https://github.com/WrightonLabCSU/DRAM,Distilled and Refined Annotation of Metabolism for microbial genomes/MAGs.
Prodigal-GV,Gene prediction / viral annotation,https://github.com/apcamargo/prodigal-gv,Fork of Prodigal/pyrodigal models for giant viruses and viruses using alternative genetic codes.
PHANOTATE,Gene prediction / viral annotation,https://github.com/deprekate/PHANOTATE,Phage-specific gene prediction tool designed for phage genomes.
pyrodigal-gv,Gene prediction / viral annotation,https://pypi.org/project/pyrodigal-gv/,Python extension/wrapper implementing Prodigal-GV models for viral and giant-virus gene prediction.
ProteinMPNN,Generative sequence/protein design,https://github.com/dauparas/ProteinMPNN,Message-passing neural network for sequence design from backbone.
ProGen2,Generative sequence/protein design,https://github.com/enijkamp/progen2,Scaled ProGen with larger model sizes and broader training.
ESM-IF,Generative sequence/protein design,https://github.com/facebookresearch/esm,Inverse folding predicts sequence given backbone structure (ESM Inverse Folding).
RFdiffusion,Generative sequence/protein design,https://github.com/RosettaCommons/RFdiffusion,Diffusion model for de novo protein backbone generation from RoseTTAFold.
ProGen,Generative sequence/protein design,https://github.com/salesforce/progen,Conditional protein language model that generates functional sequences.
MicrobeCensus,Genome Size,https://github.com/snayfach/MicrobeCensus,Estimates average genome size and can support genome-equivalent abundance calculations from shotgun metagenomes.
AGORA2,Genome-scale metabolic modelling,https://www.vmh.life/,"Curated GEM resource of ~7,300 human-gut bacterial strains with drug metabolism."
APOLLO,Genome-scale metabolic modelling,https://www.vmh.life/,"Curated GEM resource of ~7,300 human-gut bacterial strains with drug metabolism."
COMETS,Genome-scale metabolic modelling,https://github.com/segrelab/comets,Computational modelling of metabolic outputs over time. 
CarveMe,Genome-scale metabolic modelling,https://github.com/cdanielmachado/carveme,Top-down GEM reconstruction using a universal template + genome evidence.
SMETANA,Genome-scale metabolic modelling,https://github.com/cdanielmachado/smetana,Community metabolic interaction analysis via constraint-based modelling.
BacArena,Genome-scale metabolic modelling,https://github.com/euba/BacArena,Agent-based simulation of microbial communities on a spatial grid using GEMs.
metaGEM,Genome-scale metabolic modelling,https://github.com/franciscozorrilla/metaGEM,Snakemake workflow from reads → MAGs → community GEMs.
gapseq,Genome-scale metabolic modelling,https://github.com/jotech/gapseq,Automated reconstruction of GEMs from genome with metabolite-pathway inference and gap-filling.
COBRApy,Genome-scale metabolic modelling,https://github.com/opencobra/cobrapy,"Python library for constraint-based modelling (FBA, FVA, pFBA, etc.)."
ModelSEED,Genome-scale metabolic modelling,https://modelseed.org/,Reaction/genome database + reconstruction service (also via KBase).
KBase,Genome-scale metabolic modelling,https://www.kbase.us/,"DOE cloud platform for genome assembly, annotation, metabolic modelling."
treeclimbR,Hierarchical testing,https://github.com/fionarhuang/treeclimbR,"Finds data-dependent resolution levels for hierarchical hypotheses, useful with taxonomic trees."
hostile,Host read removal,https://github.com/bede/hostile,"Curated human/host index plus CLI for fast, reproducible host-read depletion with read scrubbing."
Bowtie2,Host read removal,https://github.com/BenLangmead/bowtie2,Short-read aligner commonly used to map and remove host (human) reads.
BWA-MEM2,Host read removal,https://github.com/bwa-mem2/bwa-mem2,Faster reimplementation of BWA-MEM for short-read alignment to host reference.
minimap2,Host read removal,https://github.com/lh3/minimap2,Versatile short/long-read aligner; popular for host removal with long-read or hybrid data.
PTRC,In situ growth rate / replication rate,https://genie.weizmann.ac.il/software/bacterial_growth.html,PTR Calculator original Korem/Segal method estimating replication rate from coverage.
iRep,In situ growth rate / replication rate,https://github.com/christophertbrown/iRep,Original index-of-replication tool PTR from genome-wide coverage of draft genomes.
GRiD,In situ growth rate / replication rate,https://github.com/ohlab/GRiD,Estimates peak-to-trough ratio (PTR) from short-read coverage vs reference genomes.
SMEG,In situ growth rate / replication rate,https://github.com/ohlab/SMEG,Species-level growth estimation from MAGs using SNV-based replication peak detection.
CoPTR,In situ growth rate / replication rate,https://github.com/tyjo/coptr,Coverage-based PTR estimation with statistical confidence intervals and reference DB.
DEMIC,In situ growth rate / replication rate,https://sourceforge.net/projects/demic/,PTR estimation without complete reference using contig coverage patterns.
iSEEtree,Interactive visualization,https://bioconductor.org/packages/iSEEtree,"Interactive explorer for hierarchical data, including tree-structured microbiome features."
miaDash,Interactive visualization,https://miadash-microbiome.2.rahtiapp.fi/,Interactive Shiny dashboard exposing much of mia functionality for microbiome exploration without requiring extensive R coding.
Simka,K-mer / reference-free comparison,https://github.com/GATB/simka,Reference-free comparative metagenomics using k-mer based ecological distances.
MASH screen / distance,K-mer / reference-free comparison,https://github.com/marbl/Mash,MinHash sketching for genome/metagenome distance and containment-like comparisons.
microSTASIS,Longitudinal/stability analysis,https://bioconductor.org/packages/microSTASIS,Bioconductor package for microbiota stability assessment across longitudinal samples using iterative clustering.
miaTime,Longitudinal/time-series analysis,https://microbiome.github.io/miaTime/,R package for manipulation and analysis of microbial community time-series data using TreeSummarizedExperiment.
IntegratedLearner,Machine learning,https://github.com/ocbe-uio/IntegratedLearner,R package for multi-omics classification and prediction workflows.
mikropml,Machine learning / prediction,https://github.com/SchlossLab/mikropml,R package for supervised machine learning pipelines on microbiome data.
SIAMCAT,Machine learning / prediction,https://siamcat.embl.de/,Statistical inference and machine learning framework for microbiome case-control datasets.
dRep,MAG dereplication / genome catalogues,https://github.com/MrOlm/drep,Dereplicates genomes/MAGs and compares genome quality/ANI.
FastANI,MAG dereplication / genome catalogues,https://github.com/ParBLiSS/FastANI,Fast whole-genome average nucleotide identity estimation.
CheckV,MAG quality assessment,https://bitbucket.org/berkeleylab/checkv,"Quality assessment for viral genomes (completeness, contamination, provirus boundaries)."
BUSCO,MAG quality assessment,https://busco.ezlab.org/,Completeness assessment via lineage-specific single-copy orthologs.
CheckM2,MAG quality assessment,https://github.com/chklovski/CheckM2,Machine-learning predictor of MAG completeness and contamination.
GUNC,MAG quality assessment,https://github.com/grp-bork/gunc,Chimerism detector flagging contigs from different lineages in a MAG.
MMUPHin,Meta-analysis / batch adjustment,https://github.com/biobakery/MMUPHin,Meta-analysis and batch correction framework for microbial community profiles.
MIMOSA2,Metabolite / metagenome inference,https://github.com/borenstein-lab/MIMOSA2,Links community metabolic potential to metabolomic variation using metabolic network information.
MelonnPan,Metabolite / metagenome inference,https://huttenhower.sph.harvard.edu/melonnpan/,Predicts metabolite profiles from microbial community features using elastic-net models.
MAG_Snakemake_wf,Metagenomics workflow / MAG recovery,https://github.com/Finn-Lab/MAG_Snakemake_wf,Snakemake workflow for recovery and quality assessment of prokaryotic MAGs from short-read host-associated metagenomic datasets.
SnakeWRAP,Metagenomics workflow / pipeline,https://github.com/jsede/SnakeWRAP,Snakemake workflow that automates multiple metaWRAP modules for high-throughput shotgun metagenome assembly and analysis.
OpusTaxa,Metagenomics workflow / pipeline,https://github.com/yenkaiC/OpusTaxa,"Open-source Snakemake workflow for short-read shotgun metagenomics combining QC, host removal, taxonomic profiling, assembly, functional analysis, SRA input, database setup, and harmonised cross-sample outputs."
Scoary,Microbial GWAS / pangenome association,https://github.com/AdmiralenOla/Scoary,Pan-genome wide association testing on gene presence/absence.
Anpan,Microbial GWAS / pangenome association,https://github.com/biobakery/anpan,Microbial gene-content association testing across strains within species.
treeWAS,Microbial GWAS / pangenome association,https://github.com/caitiecollins/treeWAS,Phylogeny-aware association testing controlling for clonal structure.
Panaroo,Microbial GWAS / pangenome association,https://github.com/gtonkinhill/panaroo,Quality-controlled pangenome inference with error correction.
PPanGGOLiN,Microbial GWAS / pangenome association,https://github.com/labgem/PPanGGOLiN,Partitioned pangenome graphs combining gene families and synteny.
Pyseer,Microbial GWAS / pangenome association,https://github.com/mgalardini/pyseer,"Microbial GWAS framework supporting SNPs, k-mers, and gene presence/absence."
Roary,Microbial GWAS / pangenome association,https://github.com/sanger-pathogens/Roary,Fast core/accessory pangenome construction.
PIRATE,Microbial GWAS / pangenome association,https://github.com/SionBayliss/PIRATE,Pangenome construction across multiple identity thresholds.
